0.0 30144 3 10048.0 10144.0 8608 11392 1394.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28224 3 9408.0 8768.0 8352 11104 1483.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9664.0 8608 10976 1186.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28416 3 9472.0 8768.0 8288 11360 1652.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 10048.0 7680 11296 1836.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 10112.0 8160 10880 1402.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27776 3 9258.7 9792.0 7712 10272 1360.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 9408.0 8032 11584 1791.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9536.0 8032 11424 1699.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 10016.0 8608 11200 1297.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 9728.0 7680 11616 1968.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28096 3 9365.3 9504.0 7584 11008 1716.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27680 3 9226.7 8704.0 7968 11008 1586.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 10048.0 7936 11360 1727.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9600.0 7936 11136 1600.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16256 3 5418.7 5248.0 4256 6752 1256.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28320 3 9440.0 9408.0 7808 11104 1648.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9440.0 8032 11584 1788.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 10144.0 8640 11040 1212.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9248.0 8672 11680 1596.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28544 3 9514.7 9344.0 7968 11232 1638.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9536.0 8000 11552 1781.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27904 3 9301.3 8896.0 8064 10944 1482.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9568.0 7968 11520 1778.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28160 3 9386.7 8800.0 7872 11488 1878.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9472.0 8160 11648 1761.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28096 3 9365.3 9408.0 8384 10304 960.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30048 3 10016.0 9728.0 8480 11840 1698.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9600.0 7936 11168 1616.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 9472.0 8768 11264 1286.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28608 3 9536.0 9472.0 7968 11168 1601.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9600.0 8128 11136 1504.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9472.0 8512 11136 1327.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9152.0 7648 11712 2054.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9664.0 8032 11680 1827.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 9568.0 8672 11584 1491.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28544 3 9514.7 8832.0 8640 11072 1352.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9536.0 7808 11168 1680.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27808 3 9269.3 8768.0 7968 11072 1611.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9376.0 8224 11552 1690.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 9440.0 8640 11392 1415.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9536.0 8512 11584 1564.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9568.0 8064 11072 1504.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28576 3 9525.3 9504.0 8000 11072 1536.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 10016.0 8032 11584 1780.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28384 3 9461.3 9312.0 7904 11168 1637.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 17504 3 5834.7 5984.0 4704 6816 1063.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29952 3 9984.0 9536.0 8544 11872 1708.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28224 3 9408.0 9504.0 7680 11040 1682.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9600.0 7936 11520 1793.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29216 3 9738.7 9632.0 8384 11200 1411.0 CUDA_KERNEL lud_internal(float *, int, int)
