8,0 450.171.296 6.000 75.028,0 68.704,0 67.520 1.721.216 30.032,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 428.600.992 6.000 71.433,0 68.096,0 66.848 192.992 12.460,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 443.529.728 6.000 73.921,0 68.896,0 67.968 3.344.800 46.714,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 459.815.136 6.000 76.635,0 68.192,0 66.976 1.462.784 30.370,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 446.005.056 6.000 74.334,0 68.480,0 67.360 179.936 15.513,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 434.876.800 6.000 72.479,0 68.480,0 67.328 181.088 14.144,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 462.674.272 6.000 77.112,0 77.920,0 67.040 2.196.672 37.734,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 486.375.072 6.000 81.062,0 79.008,0 67.904 919.680 15.402,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 434.839.104 6.000 72.473,0 68.064,0 67.040 1.476.512 25.187,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 462.439.680 6.000 77.073,0 78.560,0 67.744 1.741.856 26.576,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 430.727.840 6.000 71.788,0 68.448,0 67.232 179.712 12.331,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 431.667.072 6.000 71.944,0 68.352,0 67.392 2.078.144 29.399,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 432.396.640 6.000 72.066,0 67.488,0 66.336 3.313.056 45.073,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 466.328.992 6.000 77.721,0 77.504,0 66.560 2.341.632 42.199,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 439.025.056 6.000 73.170,0 68.160,0 66.912 2.598.112 42.305,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 466.335.584 6.000 77.722,0 78.944,0 67.456 1.346.080 20.525,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 470.917.024 6.000 78.486,0 78.592,0 67.232 1.783.552 28.998,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 431.577.952 6.000 71.929,0 67.584,0 66.592 1.037.984 22.578,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 441.055.840 6.000 73.509,0 69.056,0 67.840 3.045.984 41.771,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 434.047.808 6.000 72.341,0 68.448,0 67.136 181.792 13.808,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 436.414.048 6.000 72.735,0 68.096,0 66.976 1.723.488 29.461,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 445.382.016 6.000 74.230,0 68.384,0 67.040 1.065.920 20.107,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
